EEP,M/Mo,LogTeff,LogG,LogL/Lo,DECam_u,DECam_g,DECam_r,DECam_i,DECam_z,DECam_Y
48,0.533722,3.671,4.7531,-0.9506,9.439,7.9082,7.1321,6.8721,6.7445,6.6985
49,0.543186,3.6774,4.7463,-0.9104,9.2248,7.7593,7.0171,6.7701,6.651,6.6086
50,0.553392,3.6843,4.7388,-0.8673,8.9967,7.6029,6.8955,6.6622,6.5521,6.5136
51,0.563807,3.6914,4.7314,-0.8234,8.7658,7.4447,6.773,6.5539,6.4532,6.4187
52,0.568963,3.6949,4.7278,-0.8016,8.6519,7.3685,6.7131,6.5004,6.4039,6.3715
53,0.574085,3.6985,4.7242,-0.78,8.54,7.2942,6.6543,6.4475,6.3553,6.3248
54,0.579166,3.7019,4.7205,-0.7587,8.4298,7.2214,6.5964,6.3954,6.3074,6.2789
55,0.584212,3.7053,4.7167,-0.7375,8.322,7.1504,6.5396,6.3442,6.2602,6.2336
56,0.589214,3.7087,4.7129,-0.7166,8.2165,7.0811,6.4839,6.2939,6.2138,6.1891
57,0.594167,3.7119,4.7089,-0.6959,8.1135,7.0136,6.4294,6.2445,6.1682,6.1453
58,0.599073,3.7151,4.7047,-0.6755,8.0139,6.9479,6.3761,6.1961,6.1234,6.1022
59,0.603926,3.7182,4.7003,-0.6553,7.9184,6.8838,6.324,6.1486,6.0794,6.0598
60,0.608717,3.7212,4.696,-0.6355,7.8262,6.8211,6.2729,6.1022,6.0363,6.0183
